date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:58	11815/11815	---M--	200	added ('OK')	image/jpeg	etag:%22cfkQZXGIb-lj4bHJZwxpSTQg%22	https://registry.walletconnect.org/logo/lg/185850e869e40f4e6c59b5b3f60b7e63a72e88b09e2a43a40b1fd0f237e49e9a.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/185850e869e40f4e6c59b5b3f60b7e63a72e88b09e2a43a40b1fd0f237e49e9a.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:58	11654/11654	---M--	200	added ('OK')	image/jpeg	etag:%22cfXyeGlIQIHL4NrSy1Ya8tNQ%22	https://registry.walletconnect.org/logo/lg/b021913ba555948a1c81eb3d89b372be46f8354e926679de648e4fa2938bed3e.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/b021913ba555948a1c81eb3d89b372be46f8354e926679de648e4fa2938bed3e.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:59	2699/2699	---M--	200	added ('OK')	image/png	etag:%22739797800c1ad83ba9a3cdddb9824693%22	https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png	C:/Users/Sultan/Desktop/Blockchain/s2.coinmarketcap.com/static/img/coins/64x64/1958.png	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:59	4313/4313	---M--	200	added ('OK')	image/jpeg	etag:%22cfQrDj8OMF3JqvRK72GqAH8A%22	https://registry.walletconnect.org/logo/lg/beea4e71c2ffbb48b59b21e33fb0049ef6522585aa9c8a33a97d3e1c81f16693.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/beea4e71c2ffbb48b59b21e33fb0049ef6522585aa9c8a33a97d3e1c81f16693.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:00	9922/9922	---M--	200	added ('OK')	image/jpeg	etag:%22cf-4E67t_UITf-vCZrOhrr8Q%22	https://registry.walletconnect.org/logo/lg/138f51c8d00ac7b9ac9d8dc75344d096a7dfe370a568aa167eabc0a21830ed98.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/138f51c8d00ac7b9ac9d8dc75344d096a7dfe370a568aa167eabc0a21830ed98.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:00	7460/7460	---M--	200	added ('OK')	image/jpeg	etag:%22cfEABaIRnm5Ae4FvcttnHBpg%22	https://registry.walletconnect.org/logo/lg/468b4ab3582757233017ec10735863489104515ab160c053074905a1eecb7e63.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/468b4ab3582757233017ec10735863489104515ab160c053074905a1eecb7e63.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:00	8967/8967	---M--	200	added ('OK')	image/jpeg	etag:%22cfBmlJl_a2pnazawVldP9oPQ%22	https://registry.walletconnect.org/logo/lg/29f4a70ad5993f3f73ae8119f0e78ecbae51deec2a021a770225c644935c0f09.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/29f4a70ad5993f3f73ae8119f0e78ecbae51deec2a021a770225c644935c0f09.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:01	10231/10231	---M--	200	added ('OK')	image/jpeg	etag:%22cfFpxg8kJcBlKNPBslRfIl-w%22	https://registry.walletconnect.org/logo/lg/6ec1ffc9627c3b9f87676da3f7b5796828a6c016d3253e51e771e6f951cb5702.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/6ec1ffc9627c3b9f87676da3f7b5796828a6c016d3253e51e771e6f951cb5702.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:01	11631/11631	---M--	200	added ('OK')	image/jpeg	etag:%22cf_lsW3dvFDLj0NJ_ME_NCqw%22	https://registry.walletconnect.org/logo/lg/a395dbfc92b5519cbd1cc6937a4e79830187daaeb2c6fcdf9b9cce4255f2dcd5.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/a395dbfc92b5519cbd1cc6937a4e79830187daaeb2c6fcdf9b9cce4255f2dcd5.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:01	4486/4486	---M--	200	added ('OK')	image/jpeg	etag:%22cfnuLYFmZUg6nyG5vxyAxqyw%22	https://registry.walletconnect.org/logo/lg/c889f5add667a8c69d147d613c7f18a4bd97c2e47c946cabfdd13ec1d596e4a0.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/c889f5add667a8c69d147d613c7f18a4bd97c2e47c946cabfdd13ec1d596e4a0.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:01	5469/5469	---M--	200	added ('OK')	image/jpeg	etag:%22cf5ApZQ9K9C1GUYK-YD9gMPQ%22	https://registry.walletconnect.org/logo/lg/3f1bc4a8fd72b3665459ec5c99ee51b424f6beeebe46b45f4a70cf08a84cbc50.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/3f1bc4a8fd72b3665459ec5c99ee51b424f6beeebe46b45f4a70cf08a84cbc50.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:02	3181/3181	---M--	200	added ('OK')	image/jpeg	etag:%22cfGLXE3kTHW_h_GFkLGp2n7Q%22	https://registry.walletconnect.org/logo/lg/7b83869f03dc3848866e0299bc630aaf3213bea95cd6cecfbe149389cf457a09.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/7b83869f03dc3848866e0299bc630aaf3213bea95cd6cecfbe149389cf457a09.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:02	9343/9343	---M--	200	added ('OK')	image/jpeg	etag:%22cftImleGa7534cBCf-IwO95Q%22	https://registry.walletconnect.org/logo/lg/0b415a746fb9ee99cce155c2ceca0c6f6061b1dbca2d722b3ba16381d0562150.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/0b415a746fb9ee99cce155c2ceca0c6f6061b1dbca2d722b3ba16381d0562150.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:02	9491/9491	---M--	200	added ('OK')	image/jpeg	etag:%22cfbx0YlTVjahY-P9EK91rwEg%22	https://registry.walletconnect.org/logo/lg/d0387325e894a1c4244820260ad7c78bb20d79eeec2fd59ffe3529223f3f84c6.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/d0387325e894a1c4244820260ad7c78bb20d79eeec2fd59ffe3529223f3f84c6.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:02	12403/12403	---M--	200	added ('OK')	image/jpeg	etag:%22cfj9xCwRTogcqM5URvnyQ_rg%22	https://registry.walletconnect.org/logo/lg/176b83d9268d77438e32aa44770fb37b40d6448740b6a05a97b175323356bd1b.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/176b83d9268d77438e32aa44770fb37b40d6448740b6a05a97b175323356bd1b.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:03	10128/10128	---M--	200	added ('OK')	image/jpeg	etag:%22cfPpzchp8et-WpSXWftvRKIg%22	https://registry.walletconnect.org/logo/lg/8fb830a15679a8537d84c3852e026a4bdb39d0ee3b387411a91e8f6abafdc1ad.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/8fb830a15679a8537d84c3852e026a4bdb39d0ee3b387411a91e8f6abafdc1ad.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:03	5697/5697	---M--	200	added ('OK')	image/jpeg	etag:%22cfSW5pwywil0QlL6EgEoe01A%22	https://registry.walletconnect.org/logo/lg/244a0d93a45df0d0501a9cb9cdfb4e91aa750cfd4fc88f6e97a54d8455a76f5c.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/244a0d93a45df0d0501a9cb9cdfb4e91aa750cfd4fc88f6e97a54d8455a76f5c.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:04	7466/7466	---M--	200	added ('OK')	image/jpeg	etag:%22cfW8GHyvkyn4JhBCA7h-Jtxg%22	https://registry.walletconnect.org/logo/lg/881946407ff22a32ec0e42b2cd31ea5dab52242dc3648d777b511a0440d59efb.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/881946407ff22a32ec0e42b2cd31ea5dab52242dc3648d777b511a0440d59efb.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:04	8177/8177	---M--	200	added ('OK')	image/jpeg	etag:%22cfNvdb3jrGlU3nWL6ngnsleg%22	https://registry.walletconnect.org/logo/lg/3b0e861b3a57e98325b82ab687fe0a712c81366d521ceec49eebc35591f1b5d1.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/3b0e861b3a57e98325b82ab687fe0a712c81366d521ceec49eebc35591f1b5d1.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:05	7668/7668	---M--	200	added ('OK')	image/jpeg	etag:%22cfFnavmNHT6e42-JDCBLV_Tg%22	https://registry.walletconnect.org/logo/lg/ca86f48760bf5f84dcd6b1daca0fd55e2aa073ecf46453ba8a1db0b2e8e85ac1.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/ca86f48760bf5f84dcd6b1daca0fd55e2aa073ecf46453ba8a1db0b2e8e85ac1.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:05	56/56	---M--	500	error ('Internal%20Server%20Error')	text/plain	date:Tue,%2030%20Aug%202022%2021:01:01%20GMT	https://registry.walletconnect.org/logo/lg/42d72b6b34411dfacdf5364c027979908f971fc60251a817622b7bdb44a03106.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/42d72b6b34411dfacdf5364c027979908f971fc60251a817622b7bdb44a03106.jpeg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:06	12495/12495	---M--	200	added ('OK')	image/jpeg	etag:%22cfcYG90LH0TSiJaXnEJP9FgA%22	https://registry.walletconnect.org/logo/lg/b642ab6de0fe5c7d1e4a2b2821c9c807a81d0f6fd42ee3a75e513ea16e91151c.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/b642ab6de0fe5c7d1e4a2b2821c9c807a81d0f6fd42ee3a75e513ea16e91151c.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:01:06	12743/12743	---M--	200	added ('OK')	image/jpeg	etag:%22cfidO8em3nSvsYOUxwqZXQww%22	https://registry.walletconnect.org/logo/lg/38ee551a01e3c5af9d8a9715768861e4d642e2381a62245083f96672b5646c6b.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/38ee551a01e3c5af9d8a9715768861e4d642e2381a62245083f96672b5646c6b.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
